,DEX_CONTRATO,Underlying_name,am_eu_type,Underlying Code,Tipo,Comprada,Contratos,Sentido,Strike,Px_ejecucion,Multiplicador,Divisa,Bid,Ask,Vencimiento,todays_date,Spot_Price
156,ESO2 3250F1,MINI S&P 500,Europea,ES,Call,0,0,0,3250,0,50,EUR,"933,2","919,9",2021-06-18,2021-04-16,3800
157,ESO2 3250R1,MINI S&P 500,Europea,ES,Put,0,0,0,3250,0,50,EUR,"6,9","7,5",2021-06-18,2021-04-16,3800
158,ESO2 3260F1,MINI S&P 500,Europea,ES,Call,0,0,0,3260,0,50,EUR,"923,3",910,2021-06-18,2021-04-16,3800
159,ESO2 3260R1,MINI S&P 500,Europea,ES,Put,0,0,0,3260,0,50,EUR,"7,1","7,7",2021-06-18,2021-04-16,3800
160,ESO2 3270F1,MINI S&P 500,Europea,ES,Call,0,0,0,3270,0,50,EUR,"913,5","900,2",2021-06-18,2021-04-16,3800
161,ESO2 3270R1,MINI S&P 500,Europea,ES,Put,0,0,0,3270,0,50,EUR,"7,2","7,8",2021-06-18,2021-04-16,3800
162,ESO2 3280F1,MINI S&P 500,Europea,ES,Call,0,0,0,3280,0,50,EUR,"903,6","890,4",2021-06-18,2021-04-16,3800
163,ESO2 3280R1,MINI S&P 500,Europea,ES,Put,0,0,0,3280,0,50,EUR,"7,4",8,2021-06-18,2021-04-16,3800
164,ESO2 3290R1,MINI S&P 500,Europea,ES,Put,0,0,0,3290,0,50,EUR,"7,5","8,2",2021-06-18,2021-04-16,3800
165,ESO2 3290F1,MINI S&P 500,Europea,ES,Call,0,0,0,3290,0,50,EUR,"893,8","880,5",2021-06-18,2021-04-16,3800
166,ESO2 3300R1,MINI S&P 500,Europea,ES,Put,0,0,0,3300,0,50,EUR,"7,7","8,3",2021-06-18,2021-04-16,3800
167,ESO2 3300F1,MINI S&P 500,Europea,ES,Call,0,0,0,3300,0,50,EUR,884,"870,7",2021-06-18,2021-04-16,3800
168,ESO2 3310F1,MINI S&P 500,Europea,ES,Call,0,0,0,3310,0,50,EUR,"874,1","860,9",2021-06-18,2021-04-16,3800
169,ESO2 3310R1,MINI S&P 500,Europea,ES,Put,0,0,0,3310,0,50,EUR,"7,9","8,5",2021-06-18,2021-04-16,3800
170,ESO2 3320F1,MINI S&P 500,Europea,ES,Call,0,0,0,3320,0,50,EUR,"864,3",851,2021-06-18,2021-04-16,3800
171,ESO2 3320R1,MINI S&P 500,Europea,ES,Put,0,0,0,3320,0,50,EUR,8,"8,7",2021-06-18,2021-04-16,3800
172,ESO2 3330F1,MINI S&P 500,Europea,ES,Call,0,0,0,3330,0,50,EUR,"854,5","841,2",2021-06-18,2021-04-16,3800
173,ESO2 3330R1,MINI S&P 500,Europea,ES,Put,0,0,0,3330,0,50,EUR,"8,2","8,9",2021-06-18,2021-04-16,3800
174,ESO2 3340R1,MINI S&P 500,Europea,ES,Put,0,0,0,3340,0,50,EUR,"8,4","9,1",2021-06-18,2021-04-16,3800
175,ESO2 3340F1,MINI S&P 500,Europea,ES,Call,0,0,0,3340,0,50,EUR,"844,7","831,4",2021-06-18,2021-04-16,3800
176,ESO2 3350R1,MINI S&P 500,Europea,ES,Put,0,0,0,3350,0,50,EUR,"8,6","9,3",2021-06-18,2021-04-16,3800
177,ESO2 3350F1,MINI S&P 500,Europea,ES,Call,0,0,0,3350,0,50,EUR,"834,9","821,6",2021-06-18,2021-04-16,3800
178,ESO2 3360F1,MINI S&P 500,Europea,ES,Call,0,0,0,3360,0,50,EUR,"825,1","811,8",2021-06-18,2021-04-16,3800
179,ESO2 3360R1,MINI S&P 500,Europea,ES,Put,0,0,0,3360,0,50,EUR,"8,8","9,5",2021-06-18,2021-04-16,3800
180,ESO2 3370F1,MINI S&P 500,Europea,ES,Call,0,0,0,3370,0,50,EUR,"815,3",802,2021-06-18,2021-04-16,3800
181,ESO2 3370R1,MINI S&P 500,Europea,ES,Put,0,0,0,3370,0,50,EUR,9,"9,7",2021-06-18,2021-04-16,3800
182,ESO2 3380R1,MINI S&P 500,Europea,ES,Put,0,0,0,3380,0,50,EUR,"9,2","9,9",2021-06-18,2021-04-16,3800
183,ESO2 3380F1,MINI S&P 500,Europea,ES,Call,0,0,0,3380,0,50,EUR,"805,5","792,3",2021-06-18,2021-04-16,3800
184,ESO2 3390F1,MINI S&P 500,Europea,ES,Call,0,0,0,3390,0,50,EUR,"795,7","782,5",2021-06-18,2021-04-16,3800
